,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/04/2025,CANTIDAD ,1,0,0,2,9,12,,1-abr,CANT. CONTACTOS ,6,4,0,,17-abr,CANT. CONTACTOS ,0,0,0
,MONTO ," S/  445,20 ", S/  -   , S/  -   ," S/  402,80 "," S/  2.579,70 "," S/  3.427,70 ",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
2/04/2025,CANTIDAD ,2,0,0,2,7,11,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.437,00","S/.0,00","S/.0,00","S/.224,30","S/.2.825,10","S/.3.486,40",,,MONTO TOTAL,"S/.445,20","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/04/2025,CANTIDAD ,1,0,0,0,5,6,,2-abr,CANT. CONTACTOS ,13,2,1,,18-abr,CANT. CONTACTOS ,0,0,0
,MONTO ,"S/.349,00","S/.0,00","S/.0,00","S/.0,00","S/.1.697,50","S/.2.046,50",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
4/04/2025,CANTIDAD ,2,0,0,0,8,10,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.412,90","S/.0,00","S/.0,00","S/.0,00","S/.2.206,40","S/.2.619,30",,,MONTO TOTAL,"S/.437,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/04/2025,CANTIDAD ,0,0,0,2,11,13,,3-abr,CANT. CONTACTOS ,9,3,0,,19-abr,CANT. CONTACTOS ,7,2,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.355,80","S/.3.688,00","S/.4.043,80",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
6/04/2025,CANTIDAD ,0,0,0,0,7,7,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.550,30","S/.1.550,30",,,MONTO TOTAL,"S/.349,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/04/2025,CANTIDAD ,0,0,0,3,4,7,,4-abr,CANT. CONTACTOS ,10,1,0,,20-abr,CANT. CONTACTOS ,6,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.673,24","S/.1.073,60","S/.1.746,84",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
8/04/2025,CANTIDAD ,2,0,0,0,5,7,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.406,40","S/.0,00","S/.0,00","S/.0,00","S/.4.255,50","S/.4.661,90",,,MONTO TOTAL,"S/.412,90","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/04/2025,CANTIDAD ,0,0,0,0,6,6,,5-abr,CANT. CONTACTOS ,7,0,0,,21-abr,CANT. CONTACTOS ,13,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.179,50","S/.1.179,50",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
10/04/2025,CANTIDAD ,1,0,0,4,7,12,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.113,40","S/.0,00","S/.0,00","S/.1.429,60","S/.2.590,70","S/.4.133,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/04/2025,CANTIDAD ,0,0,0,2,7,9,,6-abr,CANT. CONTACTOS ,5,1,0,,22-abr,CANT. CONTACTOS ,6,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.584,20","S/.2.116,50","S/.2.700,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
12/04/2025,CANTIDAD ,1,0,0,0,8,9,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.319,40","S/.0,00","S/.0,00","S/.0,00","S/.3.764,50","S/.4.083,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.188,40","S/.0,00","S/.0,00"
13/04/2025,CANTIDAD ,0,0,0,0,1,1,,7-abr,CANT. CONTACTOS ,8,1,0,,23-abr,CANT. CONTACTOS ,7,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.215,40","S/.215,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
14/04/2025,CANTIDAD ,1,0,0,1,4,6,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.663,30","S/.0,00","S/.0,00","S/.194,40","S/.1.284,29","S/.2.141,99",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.134,80","S/.0,00","S/.0,00"
15/04/2025,CANTIDAD ,0,0,0,2,10,12,,8-abr,CANT. CONTACTOS ,11,2,0,,24-abr,CANT. CONTACTOS ,5,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.472,10","S/.2.040,30","S/.2.512,40",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
16/04/2025,CANTIDAD ,2,0,0,0,6,8,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.737,10","S/.0,00","S/.0,00","S/.0,00","S/.1.605,00","S/.2.342,10",,,MONTO TOTAL,"S/.406,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/04/2025,CANTIDAD ,0,0,0,0,0,0,,9-abr,CANT. CONTACTOS ,8,4,0,,25-abr,CANT. CONTACTOS ,11,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
18/04/2025,CANTIDAD ,0,0,0,1,0,1,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.463,40","S/.0,00","S/.463,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/04/2025,CANTIDAD ,0,0,0,1,3,4,,10-abr,CANT. CONTACTOS ,8,0,0,,26-abr,CANT. CONTACTOS ,9,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.511,20","S/.941,40","S/.1.452,60",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
20/04/2025,CANTIDAD ,0,0,0,0,4,4,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.802,80","S/.802,80",,,MONTO TOTAL,"S/.113,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
21/04/2025,CANTIDAD ,1,0,0,0,9,10,,11-abr,CANT. CONTACTOS ,7,1,0,,27-abr,CANT. CONTACTOS ,10,0,2
,MONTO ,"S/.227,40","S/.0,00","S/.0,00","S/.0,00","S/.2.922,40","S/.3.149,80",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
22/04/2025,CANTIDAD ,1,0,0,1,5,7,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.188,40","S/.0,00","S/.0,00","S/.262,80","S/.1.319,40","S/.1.770,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/04/2025,CANTIDAD ,1,0,0,3,5,9,,12-abr,CANT. CONTACTOS ,10,5,1,,28-abr,CANT. CONTACTOS ,13,2,4
,MONTO ,"S/.134,80","S/.0,00","S/.0,00","S/.541,10","S/.1.430,40","S/.2.106,30",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
24/04/2025,CANTIDAD ,0,0,0,0,6,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.169,20","S/.1.169,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.91,60","S/.0,00","S/.0,00"
25/04/2025,CANTIDAD ,0,0,0,3,18,21,,13-abr,CANT. CONTACTOS ,5,2,0,,29-abr,CANT. CONTACTOS ,9,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.693,00","S/.2.862,40","S/.3.555,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,0,0
26/04/2025,CANTIDAD ,0,0,0,1,12,13,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.368,50","S/.2.924,20","S/.3.292,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.592,80","S/.0,00","S/.0,00"
27/04/2025,CANTIDAD ,0,0,0,2,1,3,,14-abr,CANT. CONTACTOS ,11,2,1,,30-abr,CANT. CONTACTOS ,5,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.668,00","S/.179,40","S/.847,40",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
28/04/2025,CANTIDAD ,1,0,0,3,9,13,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"20,00%",0%,0%
,MONTO ,"S/.91,60","S/.0,00","S/.0,00","S/.496,60","S/.2.861,00","S/.3.449,20",,,MONTO TOTAL,"S/.663,30","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.249,00","S/.0,00","S/.0,00"
29/04/2025,CANTIDAD ,2,0,0,3,4,9,,15-abr,CANT. CONTACTOS ,8,1,0,,,CANT. CONTACTOS ,,,
,MONTO ,"S/.592,80","S/.0,00","S/.0,00","S/.796,50","S/.1.135,80","S/.2.525,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,,,
30/04/2025,CANTIDAD ,1,0,0,1,5,7,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,,
,MONTO ,"S/.249,00","S/.0,00","S/.0,00","S/.179,00","S/.1.542,20","S/.1.970,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,,,
,,,,,,,,,16-abr,CANT. CONTACTOS ,7,0,0,,,,,,
,,,,,,,,,,CANT. VENTAS ,2,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,,0%,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.737,10","S/.0,00","S/.0,00",,,,,,
