,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/08/2025,CANTIDAD ,0,1,0,,0,1,,1-ago,CANT. CONTACTOS ,7,0,0,,17-ago,CANT. CONTACTOS ,7,0,0
,MONTO , S/  -   ," S/  389,00 ", S/  -   ,, S/  -   ," S/  389,00 ",,,CANT. VENTAS ,0,1,0,,,CANT. VENTAS ,0,0,0
2/08/2025,CANTIDAD ,0,0,0,1,9,10,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.264,50","S/.3.930,50","S/.4.195,00",,,MONTO TOTAL,"S/.0,00","S/.389,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/08/2025,CANTIDAD ,0,0,0,1,1,2,,2-ago,CANT. CONTACTOS ,16,1,0,,18-ago,CANT. CONTACTOS ,20,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.351,00","S/.399,00","S/.750,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
4/08/2025,CANTIDAD ,0,0,0,1,3,4,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.126,80","S/.1.876,90","S/.2.003,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/08/2025,CANTIDAD ,2,0,0,2,7,11,,3-ago,CANT. CONTACTOS ,18,1,0,,19-ago,CANT. CONTACTOS ,34,1,0
,MONTO ,"S/.1.082,30","S/.0,00","S/.0,00","S/.1.530,00","S/.2.112,30","S/.4.724,60",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
6/08/2025,CANTIDAD ,0,0,0,0,10,10,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.514,70","S/.2.514,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/08/2025,CANTIDAD ,2,0,0,3,8,13,,4-ago,CANT. CONTACTOS ,23,2,1,,20-ago,CANT. CONTACTOS ,21,0,0
,MONTO ,"S/.394,90","S/.0,00","S/.0,00","S/.851,10","S/.2.045,00","S/.3.291,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
8/08/2025,CANTIDAD ,0,0,0,2,10,12,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.534,40","S/.2.886,50","S/.3.420,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/08/2025,CANTIDAD ,0,0,0,1,13,14,,5-ago,CANT. CONTACTOS ,14,4,0,,21-ago,CANT. CONTACTOS ,22,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.212,40","S/.2.569,00","S/.2.781,40",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,1,0,0
10/08/2025,CANTIDAD ,2,1,0,0,2,5,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.662,40","S/.519,00","S/.0,00","S/.0,00","S/.503,60","S/.1.685,00",,,MONTO TOTAL,"S/.1.082,30","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.181,30","S/.0,00","S/.0,00"
11/08/2025,CANTIDAD ,0,0,0,1,4,5,,6-ago,CANT. CONTACTOS ,9,1,0,,22-ago,CANT. CONTACTOS ,25,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.234,10","S/.687,10","S/.921,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,3,0,0
12/08/2025,CANTIDAD ,0,0,0,1,10,11,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.168,80","S/.4.343,10","S/.5.511,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.493,90","S/.0,00","S/.0,00"
13/08/2025,CANTIDAD ,0,0,0,2,7,9,,7-ago,CANT. CONTACTOS ,24,0,0,,23-ago,CANT. CONTACTOS ,20,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.761,10","S/.1.649,50","S/.2.410,60",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
14/08/2025,CANTIDAD ,0,0,0,5,11,16,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.2.773,30","S/.3.110,10","S/.5.883,40",,,MONTO TOTAL,"S/.394,90","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/08/2025,CANTIDAD ,0,0,0,1,5,6,,8-ago,CANT. CONTACTOS ,30,3,0,,24-ago,CANT. CONTACTOS ,12,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.356,50","S/.818,40","S/.1.174,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
16/08/2025,CANTIDAD ,2,0,0,23,17,42,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.438,50","S/.0,00","S/.0,00",,"S/.9.491,00","S/.9.929,50",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/08/2025,CANTIDAD ,0,0,0,0,2,2,,9-ago,CANT. CONTACTOS ,32,3,0,,25-ago,CANT. CONTACTOS ,36,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.947,00","S/.947,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
18/08/2025,CANTIDAD ,0,0,0,1,5,6,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.484,00","S/.1.673,90","S/.2.157,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/08/2025,CANTIDAD ,0,0,0,4,4,8,,10-ago,CANT. CONTACTOS ,14,2,2,,26-ago,CANT. CONTACTOS ,21,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.755,80","S/.1.703,70","S/.2.459,50",,,CANT. VENTAS ,2,1,0,,,CANT. VENTAS ,2,0,0
20/08/2025,CANTIDAD ,0,0,0,0,6,6,,,TASA DE VENTA ,0,,0,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.883,60","S/.1.883,60",,,MONTO TOTAL,"S/.662,40","S/.519,00","S/.0,00",,,MONTO TOTAL,"S/.499,40","S/.0,00","S/.0,00"
21/08/2025,CANTIDAD ,1,0,0,3,4,8,,11-ago,CANT. CONTACTOS ,26,3,0,,27-ago,CANT. CONTACTOS ,16,4,0
,MONTO ,"S/.181,30","S/.0,00","S/.0,00","S/.590,70","S/.1.247,40","S/.2.019,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
22/08/2025,CANTIDAD ,3,0,0,5,21,29,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.493,90","S/.0,00","S/.0,00","S/.1.239,70","S/.6.580,60","S/.8.314,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/08/2025,CANTIDAD ,0,0,0,1,14,15,,12-ago,CANT. CONTACTOS ,22,6,0,,28-ago,CANT. CONTACTOS ,19,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.170,10","S/.4.097,80","S/.4.267,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
24/08/2025,CANTIDAD ,0,0,0,1,1,2,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.353,80","S/.530,50","S/.884,30",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.187,30","S/.0,00","S/.0,00"
25/08/2025,CANTIDAD ,0,0,0,0,7,7,,13-ago,CANT. CONTACTOS ,20,2,0,,29-ago,CANT. CONTACTOS ,21,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.717,60","S/.1.717,60",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
26/08/2025,CANTIDAD ,2,0,0,0,6,8,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.499,40","S/.0,00","S/.0,00","S/.0,00","S/.1.353,00","S/.1.852,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
27/08/2025,CANTIDAD ,0,0,0,2,7,9,,14-ago,CANT. CONTACTOS ,26,2,0,,30-ago,CANT. CONTACTOS ,10,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.544,70","S/.1.198,20","S/.1.742,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
28/08/2025,CANTIDAD ,1,0,0,2,9,12,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.187,30","S/.0,00","S/.0,00","S/.354,30","S/.1.857,10","S/.2.398,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/08/2025,CANTIDAD ,0,0,0,3,4,7,,15-ago,CANT. CONTACTOS ,15,0,0,,31-ago,CANT. CONTACTOS ,7,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.2.830,70","S/.763,00","S/.3.593,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
30/08/2025,CANTIDAD ,0,0,0,2,8,10,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.193,50","S/.2.921,60","S/.4.115,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
31/08/2025,CANTIDAD ,0,0,0,0,2,2,,16-ago,CANT. CONTACTOS ,32,5,0,,,,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.373,50","S/.373,50",,,CANT. VENTAS ,2,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,,0,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.438,50","S/.0,00","S/.0,00",,,,,,
