,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/12/2025,CANTIDAD ,0,0,0,1,3,4,,1-dic,CANT. CONTACTOS ,13,0,0,,17-dic,CANT. CONTACTOS ,8,2,0
,MONTO , S/  -   , S/  -   , S/  -   ," S/  183,60 "," S/  4.159,90 "," S/  4.343,50 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
2/12/2025,CANTIDAD ,0,0,0,2,4,6,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.463,24","S/.2.697,90","S/.3.161,14",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.151,60","S/.0,00","S/.0,00"
3/12/2025,CANTIDAD ,0,0,0,4,8,12,,2-dic,CANT. CONTACTOS ,6,3,0,,18-dic,CANT. CONTACTOS ,9,3,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.2.062,70","S/.1.944,70","S/.4.007,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,3,1,0
4/12/2025,CANTIDAD ,2,0,0,1,8,11,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.483,40","S/.0,00","S/.0,00","S/.182,60","S/.3.930,10","S/.4.596,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.542,90","S/.468,00","S/.0,00"
5/12/2025,CANTIDAD ,2,0,0,2,10,14,,3-dic,CANT. CONTACTOS ,11,1,0,,19-dic,CANT. CONTACTOS ,6,1,0
,MONTO ,"S/.115,80","S/.0,00", S/  -   ,"S/.662,00","S/.1.807,20","S/.2.585,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
6/12/2025,CANTIDAD ,0,0,0,0,17,17,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.3.785,80","S/.3.785,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.247,20","S/.0,00","S/.0,00"
7/12/2025,CANTIDAD ,0,0,0,4,7,11,,4-dic,CANT. CONTACTOS ,13,3,0,,20-dic,CANT. CONTACTOS ,11,4,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.938,60","S/.1.612,10","S/.2.550,70",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
8/12/2025,CANTIDAD ,1,0,0,1,4,6,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.170,60","S/.0,00","S/.0,00","S/.344,00","S/.1.224,90","S/.1.739,50",,,MONTO TOTAL,"S/.483,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/12/2025,CANTIDAD ,0,0,0,3,9,12,,5-dic,CANT. CONTACTOS ,8,3,0,,21-dic,CANT. CONTACTOS ,0,0,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.968,60","S/.4.005,50","S/.4.974,10",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
10/12/2025,CANTIDAD ,3,0,0,3,14,20,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.978,90","S/.0,00","S/.0,00","S/.723,40","S/.3.980,50","S/.5.682,80",,,MONTO TOTAL,"S/.115,80","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/12/2025,CANTIDAD ,1,0,0,3,8,12,,6-dic,CANT. CONTACTOS ,7,2,0,,22-dic,CANT. CONTACTOS ,8,5,0
,MONTO ,"S/.809,60","S/.0,00", S/  -   ,"S/.365,90","S/.2.247,40","S/.3.422,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
12/12/2025,CANTIDAD ,1,1,0,2,12,16,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.374,00","S/.552,20","S/.0,00","S/.335,60","S/.3.172,00","S/.4.433,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
13/12/2025,CANTIDAD ,2,0,0,2,7,11,,7-dic,CANT. CONTACTOS ,1,2,0,,23-dic,CANT. CONTACTOS ,17,6,0
,MONTO ,"S/.285,45","S/.0,00", S/  -   ,"S/.413,25","S/.1.994,85","S/.2.693,55",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,3,0,0
14/12/2025,CANTIDAD ,0,0,0,3,5,8,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.962,55","S/.1.193,40","S/.2.155,95",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.874,60","S/.0,00","S/.0,00"
15/12/2025,CANTIDAD ,1,0,0,2,5,8,,8-dic,CANT. CONTACTOS ,8,3,0,,24-dic,CANT. CONTACTOS ,13,2,0
,MONTO ,"S/.98,60","S/.0,00", S/  -   ,"S/.444,00","S/.1.062,95","S/.1.605,55",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
16/12/2025,CANTIDAD ,2,0,0,6,12,20,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.110,80","S/.0,00","S/.0,00","S/.2.428,00","S/.3.122,50","S/.5.661,30",,,MONTO TOTAL,"S/.170,60","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.197,30","S/.0,00","S/.0,00"
17/12/2025,CANTIDAD ,1,0,0,3,13,17,,9-dic,CANT. CONTACTOS ,5,2,0,,25-dic,CANT. CONTACTOS ,3,0,0
,MONTO ,"S/.151,60","S/.0,00", S/  -   ,"S/.615,00","S/.3.782,90","S/.4.549,50",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
18/12/2025,CANTIDAD ,3,1,0,0,6,10,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.542,90","S/.468,00","S/.0,00","S/.0,00","S/.2.610,90","S/.3.621,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/12/2025,CANTIDAD ,1,0,0,1,10,12,,10-dic,CANT. CONTACTOS ,21,8,0,,26-dic,CANT. CONTACTOS ,6,1,0
,MONTO ,"S/.247,20","S/.0,00", S/  -   ,"S/.179,60","S/.3.478,20","S/.3.905,00",,,CANT. VENTAS ,3,0,0,,,CANT. VENTAS ,2,0,0
20/12/2025,CANTIDAD ,0,0,0,3,13,16,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.357,60","S/.5.508,70","S/.5.866,30",,,MONTO TOTAL,"S/.978,90","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.359,10","S/.0,00","S/.0,00"
21/12/2025,CANTIDAD ,0,0,0,2,5,7,,11-dic,CANT. CONTACTOS ,23,9,0,,27-dic,CANT. CONTACTOS ,2,3,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.294,64","S/.1.325,00","S/.1.619,64",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
22/12/2025,CANTIDAD ,0,0,0,3,8,11,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.664,44","S/.1.740,95","S/.2.405,39",,,MONTO TOTAL,"S/.809,60","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/12/2025,CANTIDAD ,3,0,0,2,14,19,,12-dic,CANT. CONTACTOS ,14,2,0,,28-dic,CANT. CONTACTOS ,1,0,0
,MONTO ,"S/.874,60","S/.0,00", S/  -   ,"S/.930,00","S/.4.207,10","S/.6.011,70",,,CANT. VENTAS ,1,1,0,,,CANT. VENTAS ,0,0,0
24/12/2025,CANTIDAD ,1,0,0,0,21,22,,,TASA DE VENTA ,,,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.197,30","S/.0,00","S/.0,00","S/.0,00","S/.4.829,80","S/.5.027,10",,,MONTO TOTAL,"S/.374,00","S/.552,20","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
25/12/2025,CANTIDAD ,0,0,0,1,0,1,,13-dic,CANT. CONTACTOS ,3,2,0,,29-dic,CANT. CONTACTOS ,1,1,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.466,50","S/.0,00","S/.466,50",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
26/12/2025,CANTIDAD ,2,0,0,1,5,8,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.359,10","S/.0,00","S/.0,00","S/.131,60","S/.2.350,00","S/.2.840,70",,,MONTO TOTAL,"S/.285,45","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
27/12/2025,CANTIDAD ,0,0,0,0,5,5,,14-dic,CANT. CONTACTOS ,2,2,0,,30-dic,CANT. CONTACTOS ,2,1,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.0,00","S/.1.753,00","S/.1.753,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
28/12/2025,CANTIDAD ,0,0,0,3,2,5,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.729,24","S/.563,70","S/.1.292,94",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/12/2025,CANTIDAD ,0,0,0,1,7,8,,15-dic,CANT. CONTACTOS ,20,7,0,,31-dic,CANT. CONTACTOS ,0,0,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.287,20","S/.2.197,70","S/.2.484,90",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
30/12/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.274,20","S/.488,90","S/.763,10",,,MONTO TOTAL,"S/.98,60","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
31/12/2025,CANTIDAD ,0,0,0,0,3,3,,16-dic,CANT. CONTACTOS ,14,3,0,,,,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.897,00","S/.897,00",,,CANT. VENTAS ,2,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,,0,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.110,80","S/.0,00","S/.0,00",,,,,,
