,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/02/2025,CANTIDAD ,0,0,0,0,3,3,,1-feb,CANT. CONTACTOS ,3,1,0,,17-feb,CANT. CONTACTOS ,11,0,0
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   ," S/  1.137,00 "," S/  1.137,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
2/02/2025,CANTIDAD ,0,0,0,1,2,3,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.670,70","S/.688,00","S/.1.358,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/02/2025,CANTIDAD ,0,0,0,0,2,2,,2-feb,CANT. CONTACTOS ,7,1,1,,18-feb,CANT. CONTACTOS ,12,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.388,00"," S/  388,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
4/02/2025,CANTIDAD ,1,0,0,0,5,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.513,00","S/.0,00","S/.0,00","S/.0,00","S/.5.045,00","S/.5.558,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.458,30","S/.0,00","S/.0,00"
5/02/2025,CANTIDAD ,0,0,0,2,4,6,,3-feb,CANT. CONTACTOS ,2,2,0,,19-feb,CANT. CONTACTOS ,10,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.306,50","S/.1.165,80"," S/  1.472,30 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
6/02/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.296,10","S/.1.864,00","S/.2.160,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.104,00","S/.0,00","S/.0,00"
7/02/2025,CANTIDAD ,0,0,0,0,2,2,,4-feb,CANT. CONTACTOS ,4,0,0,,20-feb,CANT. CONTACTOS ,22,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.747,00"," S/  747,00 ",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
8/02/2025,CANTIDAD ,0,0,0,0,5,5,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.915,00","S/.1.915,00",,,MONTO TOTAL,"S/.513,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.287,40","S/.0,00","S/.0,00"
9/02/2025,CANTIDAD ,1,0,0,0,1,2,,5-feb,CANT. CONTACTOS ,4,1,0,,21-feb,CANT. CONTACTOS ,20,2,0
,MONTO ,"S/.169,00","S/.0,00","S/.0,00","S/.0,00","S/.917,00"," S/  1.086,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
10/02/2025,CANTIDAD ,0,0,0,1,3,4,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.408,50","S/.2.555,00","S/.2.963,50",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/02/2025,CANTIDAD ,0,0,0,0,2,2,,6-feb,CANT. CONTACTOS ,5,2,0,,22-feb,CANT. CONTACTOS ,15,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.648,00"," S/  648,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
12/02/2025,CANTIDAD ,2,0,0,5,9,16,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.294,80","S/.0,00","S/.0,00","S/.2.558,00","S/.4.358,00","S/.7.210,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
13/02/2025,CANTIDAD ,2,0,0,4,10,16,,7-feb,CANT. CONTACTOS ,6,2,0,,23-feb,CANT. CONTACTOS ,12,0,0
,MONTO ,"S/.783,00","S/.0,00","S/.0,00","S/.3.909,00","S/.4.363,00"," S/  9.055,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
14/02/2025,CANTIDAD ,1,0,0,1,5,7,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.608,00","S/.0,00","S/.0,00","S/.268,80","S/.4.017,00","S/.4.893,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/02/2025,CANTIDAD ,0,0,0,0,7,7,,8-feb,CANT. CONTACTOS ,4,1,0,,24-feb,CANT. CONTACTOS ,20,3,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.873,80"," S/  2.873,80 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
16/02/2025,CANTIDAD ,0,0,0,1,0,1,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.140,40","S/.0,00","S/.140,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/02/2025,CANTIDAD ,0,0,0,1,1,2,,9-feb,CANT. CONTACTOS ,3,1,0,,25-feb,CANT. CONTACTOS ,15,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.92,40","S/.657,00"," S/  749,40 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
18/02/2025,CANTIDAD ,2,0,0,0,2,4,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.522,30","S/.0,00","S/.0,00","S/.0,00","S/.829,50","S/.1.351,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.229,30","S/.0,00","S/.0,00"
19/02/2025,CANTIDAD ,1,0,0,0,6,7,,10-feb,CANT. CONTACTOS ,3,2,0,,26-feb,CANT. CONTACTOS ,11,0,0
,MONTO ,"S/.104,00","S/.0,00","S/.0,00","S/.0,00","S/.2.356,20"," S/  2.460,20 ",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
20/02/2025,CANTIDAD ,1,0,0,0,3,4,,,TASA DE VENTA ,"S/.169,00",0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.287,40","S/.0,00","S/.0,00","S/.0,00","S/.1.364,80","S/.1.652,20",,,MONTO TOTAL,,"S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
21/02/2025,CANTIDAD ,0,0,0,0,7,7,,11-feb,CANT. CONTACTOS ,4,2,0,,27-feb,CANT. CONTACTOS ,8,0,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.331,00"," S/  2.331,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
22/02/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.611,00","S/.998,20","S/.1.609,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/02/2025,CANTIDAD ,0,0,0,1,1,2,,12-feb,CANT. CONTACTOS ,8,0,0,,28-feb,CANT. CONTACTOS ,3,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.132,30","S/.195,30"," S/  327,60 ",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
24/02/2025,CANTIDAD ,0,0,0,0,6,6,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.135,70","S/.2.135,70",,,MONTO TOTAL,"S/.294,80","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
25/02/2025,CANTIDAD ,1,0,0,1,2,4,,13-feb,CANT. CONTACTOS ,12,3,0,,,,,,
,MONTO ,"S/.229,30","S/.0,00","S/.0,00","S/.278,60","S/.1.131,20"," S/  1.639,10 ",,,CANT. VENTAS ,2,0,0,,,,,,
26/02/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,,0%,0%,,,,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.54,50","S/.1.206,80","S/.1.261,30",,,MONTO TOTAL,"S/.783,00","S/.0,00","S/.0,00",,,,,,
27/02/2025,CANTIDAD ,0,0,0,0,6,6,,14-feb,CANT. CONTACTOS ,11,4,0,,,,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.043,40"," S/  2.043,40 ",,,CANT. VENTAS ,1,0,0,,,,,,
28/02/2025,CANTIDAD ,0,0,0,0,2,2,,,TASA DE VENTA ,,0%,0%,,,,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.697,90","S/.697,90",,,MONTO TOTAL,"S/.608,00","S/.0,00","S/.0,00",,,,,,
,,,,,,,,,15-feb,CANT. CONTACTOS ,9,0,0,,,,,,
,,,,,,,,,,CANT. VENTAS ,0,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,"0,00%",0%,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,,,,
,,,,,,,,,16-feb,CANT. CONTACTOS ,7,2,1,,,,,,
,,,,,,,,,,CANT. VENTAS ,0,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,"0,00%",0%,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,,,,
