,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/07/2025,CANTIDAD ,2,1,0,3,3,9,,1-jul,CANT. CONTACTOS ,56,1,0,,17-jul,CANT. CONTACTOS ,21,1,0
,MONTO ," S/  651,30 "," S/  389,00 ", S/  -   ," S/  403,62 "," S/  1.162,70 "," S/  2.606,62 ",,,CANT. VENTAS ,2,1,0,,,CANT. VENTAS ,1,0,0
2/07/2025,CANTIDAD ,2,0,0,5,4,11,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.263,20","S/.0,00","S/.0,00","S/.855,40","S/.975,90","S/.2.094,50",,,MONTO TOTAL,"S/.651,30","S/.389,00","S/.0,00",,,MONTO TOTAL,"S/.249,00","S/.0,00","S/.0,00"
3/07/2025,CANTIDAD ,0,0,0,0,7,7,,2-jul,CANT. CONTACTOS ,52,0,0,,18-jul,CANT. CONTACTOS ,28,1,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.512,80","S/.1.512,80",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,2,0,0
4/07/2025,CANTIDAD ,0,0,0,3,11,14,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.425,50","S/.4.565,40","S/.4.990,90",,,MONTO TOTAL,"S/.263,20","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.283,20","S/.0,00","S/.0,00"
5/07/2025,CANTIDAD ,0,0,0,1,12,13,,3-jul,CANT. CONTACTOS ,53,0,0,,19-jul,CANT. CONTACTOS ,25,1,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.134,80","S/.5.795,40","S/.5.930,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
6/07/2025,CANTIDAD ,1,0,0,2,3,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.289,40","S/.0,00","S/.0,00","S/.143,40","S/.1.224,80","S/.1.657,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/07/2025,CANTIDAD ,0,0,0,4,4,8,,4-jul,CANT. CONTACTOS ,39,2,0,,20-jul,CANT. CONTACTOS ,21,2,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.354,90","S/.1.479,70","S/.2.834,60",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
8/07/2025,CANTIDAD ,0,0,0,2,11,13,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.836,60","S/.4.077,20","S/.4.913,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/07/2025,CANTIDAD ,1,0,0,1,7,9,,5-jul,CANT. CONTACTOS ,43,7,0,,21-jul,CANT. CONTACTOS ,9,1,0
,MONTO ,"S/.69,90","S/.0,00","S/.0,00","S/.267,10","S/.2.027,30","S/.2.364,30",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
10/07/2025,CANTIDAD ,0,0,0,2,8,10,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.157,20","S/.2.227,90","S/.3.385,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/07/2025,CANTIDAD ,0,0,0,0,7,7,,6-jul,CANT. CONTACTOS ,13,1,0,,22-jul,CANT. CONTACTOS ,23,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.624,40","S/.2.624,40",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
12/07/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.486,60","S/.643,70","S/.1.130,30",,,MONTO TOTAL,"S/.289,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
13/07/2025,CANTIDAD ,0,0,0,0,1,1,,7-jul,CANT. CONTACTOS ,31,3,,,23-jul,CANT. CONTACTOS ,13,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.59,90","S/.59,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
14/07/2025,CANTIDAD ,1,0,0,2,3,6,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.134,00","S/.0,00","S/.0,00","S/.687,60","S/.977,70","S/.1.799,30",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/07/2025,CANTIDAD ,2,0,0,2,4,8,,8-jul,CANT. CONTACTOS ,20,3,0,,24-jul,CANT. CONTACTOS ,28,1,0
,MONTO ,"S/.430,60","S/.0,00","S/.0,00","S/.540,60","S/.832,70","S/.1.803,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
16/07/2025,CANTIDAD ,2,0,0,1,4,7,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.1.041,90","S/.0,00","S/.0,00","S/.299,00","S/.434,70","S/.1.775,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.94,50","S/.0,00","S/.0,00"
17/07/2025,CANTIDAD ,1,0,0,2,7,10,,9-jul,CANT. CONTACTOS ,13,3,0,,25-jul,CANT. CONTACTOS ,17,2,1
,MONTO ,"S/.249,00","S/.0,00","S/.0,00","S/.285,30","S/.1.665,50","S/.2.199,80",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
18/07/2025,CANTIDAD ,2,0,0,0,5,7,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.283,20","S/.0,00","S/.0,00","S/.0,00","S/.1.264,00","S/.1.547,20",,,MONTO TOTAL,"S/.69,90","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/07/2025,CANTIDAD ,0,0,0,0,6,6,,10-jul,CANT. CONTACTOS ,15,1,0,,26-jul,CANT. CONTACTOS ,10,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.982,00","S/.982,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
20/07/2025,CANTIDAD ,0,0,0,0,2,2,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.026,80","S/.1.026,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
21/07/2025,CANTIDAD ,0,0,0,1,5,6,,11-jul,CANT. CONTACTOS ,12,2,0,,27-jul,CANT. CONTACTOS ,4,4,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.87,60","S/.1.185,50","S/.1.273,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
22/07/2025,CANTIDAD ,0,0,0,1,7,8,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.274,00","S/.1.671,40","S/.1.945,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/07/2025,CANTIDAD ,0,0,0,2,8,10,,12-jul,CANT. CONTACTOS ,7,4,0,,28-jul,CANT. CONTACTOS ,13,1,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.618,00","S/.3.462,70","S/.4.080,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,1,0
24/07/2025,CANTIDAD ,1,0,0,3,5,9,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",,0%
,MONTO ,"S/.94,50","S/.0,00","S/.0,00","S/.792,50","S/.2.533,10","S/.3.420,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.300,40","S/.0,00"
25/07/2025,CANTIDAD ,0,0,0,1,2,3,,13-jul,CANT. CONTACTOS ,10,3,0,,29-jul,CANT. CONTACTOS ,17,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.469,00","S/.1.074,90","S/.1.543,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
26/07/2025,CANTIDAD ,0,0,0,0,5,5,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.126,90","S/.1.126,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
27/07/2025,CANTIDAD ,0,0,0,0,0,0,,14-jul,CANT. CONTACTOS ,16,4,0,,30-jul,CANT. CONTACTOS ,49,3,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
28/07/2025,CANTIDAD ,0,0,0,1,0,1,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.119,60","S/.0,00","S/.119,60",,,MONTO TOTAL,"S/.134,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.598,00","S/.0,00","S/.0,00"
29/07/2025,CANTIDAD ,0,1,0,0,0,1,,15-jul,CANT. CONTACTOS ,32,0,0,,31-jul,CANT. CONTACTOS ,8,0,0
,MONTO ,"S/.0,00","S/.300,40","S/.0,00","S/.0,00","S/.0,00","S/.300,40",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,1,0,0
30/07/2025,CANTIDAD ,1,0,0,0,3,4,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.598,00","S/.0,00","S/.0,00","S/.0,00","S/.843,60","S/.1.441,60",,,MONTO TOTAL,"S/.430,60","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.109,50","S/.0,00","S/.0,00"
31/07/2025,CANTIDAD ,1,0,0,1,3,5,,16-jul,CANT. CONTACTOS ,28,3,1,,,,,,
,MONTO ,"S/.109,50","S/.0,00","S/.0,00","S/.126,80","S/.1.435,80","S/.1.672,10",,,CANT. VENTAS ,2,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,,0,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.1.041,90","S/.0,00","S/.0,00",,,,,,
