,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,,,
1/06/2025,CANTIDAD ,0,0,0,0,2,2,,1-jun,CANT. CONTACTOS ,0,1,0,,17-jun,CANT. CONTACTOS ,15,1,1
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   ," S/  1.445,00 "," S/  1.445,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
2/06/2025,CANTIDAD ,0,0,0,0,5,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.708,00","S/.708,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/06/2025,CANTIDAD ,0,0,0,0,8,8,,2-jun,CANT. CONTACTOS ,12,3,0,,18-jun,CANT. CONTACTOS ,11,5,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.439,40","S/.1.439,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
4/06/2025,CANTIDAD ,0,0,0,2,6,8,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.565,15","S/.1.859,90","S/.2.425,05",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/06/2025,CANTIDAD ,0,0,0,1,7,8,,3-jun,CANT. CONTACTOS ,10,4,0,,19-jun,CANT. CONTACTOS ,13,4,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.369,00","S/.906,00","S/.1.275,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
