,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/03/2025,CANTIDAD ,0,0,0,0,5,5,,1-mar,CANT. CONTACTOS ,1,1,0,,17-mar,CANT. CONTACTOS ,9,1,1
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   ," S/  1.008,50 "," S/  1.008,50 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
2/03/2025,CANTIDAD ,0,0,0,0,2,2,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.452,60","S/.452,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/03/2025,CANTIDAD ,0,0,0,5,2,7,,2-mar,CANT. CONTACTOS ,2,1,0,,18-mar,CANT. CONTACTOS ,6,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.866,80","S/.244,30","S/.1.111,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
4/03/2025,CANTIDAD ,0,0,0,0,4,4,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.485,10","S/.1.485,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.337,80","S/.0,00","S/.0,00"
5/03/2025,CANTIDAD ,1,0,0,4,2,7,,3-mar,CANT. CONTACTOS ,4,2,0,,19-mar,CANT. CONTACTOS ,6,3,0
,MONTO ,"S/.265,30","S/.0,00","S/.0,00","S/.939,20","S/.438,60","S/.1.643,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
6/03/2025,CANTIDAD ,0,0,0,0,7,7,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.170,00","S/.2.170,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/03/2025,CANTIDAD ,0,0,0,0,6,6,,4-mar,CANT. CONTACTOS ,5,1,2,,20-mar,CANT. CONTACTOS ,10,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.666,40","S/.1.666,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
8/03/2025,CANTIDAD ,0,0,0,2,8,10,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.323,40","S/.3.204,10","S/.3.527,50",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/03/2025,CANTIDAD ,0,0,0,1,4,5,,5-mar,CANT. CONTACTOS ,3,2,0,,21-mar,CANT. CONTACTOS ,7,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.128,40","S/.718,80","S/.847,20",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
10/03/2025,CANTIDAD ,0,1,0,2,8,11,,,TASA DE VENTA ,"33,33%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.182,40","S/.0,00","S/.501,20","S/.2.918,80","S/.3.602,40",,,MONTO TOTAL,"S/.265,30","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/03/2025,CANTIDAD ,0,0,0,2,3,5,,6-mar,CANT. CONTACTOS ,5,1,0,,22-mar,CANT. CONTACTOS ,8,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.350,80","S/.943,40","S/.1.294,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
12/03/2025,CANTIDAD ,1,0,0,3,8,12,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.338,70","S/.0,00","S/.0,00","S/.1.565,80","S/.2.860,40","S/.4.764,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.175,40","S/.0,00","S/.0,00"
13/03/2025,CANTIDAD ,1,0,0,0,5,6,,7-mar,CANT. CONTACTOS ,4,1,0,,23-mar,CANT. CONTACTOS ,1,2,0
,MONTO ,"S/.242,40","S/.0,00","S/.0,00","S/.0,00","S/.1.036,30","S/.1.278,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
14/03/2025,CANTIDAD ,0,0,0,2,9,11,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.511,20","S/.4.126,90","S/.4.638,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/03/2025,CANTIDAD ,1,0,0,2,13,16,,8-mar,CANT. CONTACTOS ,5,1,1,,24-mar,CANT. CONTACTOS ,18,2,0
,MONTO ,"S/.947,50","S/.0,00","S/.0,00","S/.1.045,60","S/.6.091,60","S/.8.084,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
16/03/2025,CANTIDAD ,0,0,0,4,4,8,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.909,00","S/.941,90","S/.1.850,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.219,00","S/.0,00","S/.0,00"
17/03/2025,CANTIDAD ,0,0,0,0,9,9,,9-mar,CANT. CONTACTOS ,3,1,0,,25-mar,CANT. CONTACTOS ,13,1,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.746,10","S/.2.746,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
18/03/2025,CANTIDAD ,1,0,0,1,10,12,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.337,80","S/.0,00","S/.0,00","S/.229,30","S/.4.580,20","S/.5.147,30",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/03/2025,CANTIDAD ,0,0,0,2,5,7,,10-mar,CANT. CONTACTOS ,6,2,0,,26-mar,CANT. CONTACTOS ,9,2,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.238,60","S/.1.221,40","S/.2.460,00",,,CANT. VENTAS ,0,1,0,,,CANT. VENTAS ,0,0,0
20/03/2025,CANTIDAD ,0,0,0,2,8,10,,,TASA DE VENTA ,0%,50%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.617,00","S/.2.649,50","S/.3.266,50",,,MONTO TOTAL,"S/.0,00","S/.182,40","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
21/03/2025,CANTIDAD ,0,0,0,3,11,14,,11-mar,CANT. CONTACTOS ,11,2,1,,27-mar,CANT. CONTACTOS ,12,6,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.687,60","S/.3.882,40","S/.4.570,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
22/03/2025,CANTIDAD ,1,0,0,0,10,11,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.175,40","S/.0,00","S/.0,00","S/.0,00","S/.2.752,70","S/.2.928,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/03/2025,CANTIDAD ,0,0,0,1,4,5,,12-mar,CANT. CONTACTOS ,10,3,0,,28-mar,CANT. CONTACTOS ,7,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.164,50","S/.901,40","S/.1.065,90",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
24/03/2025,CANTIDAD ,1,0,0,3,7,11,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.219,00","S/.0,00","S/.0,00","S/.1.300,40","S/.2.145,00","S/.3.664,40",,,MONTO TOTAL,"S/.338,70","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
25/03/2025,CANTIDAD ,0,0,0,2,8,10,,13-mar,CANT. CONTACTOS ,4,0,0,,29-mar,CANT. CONTACTOS ,2,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.628,00","S/.3.089,00","S/.3.717,00",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
26/03/2025,CANTIDAD ,0,0,0,2,8,10,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,50%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.583,40","S/.2.561,80","S/.3.145,20",,,MONTO TOTAL,"S/.242,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.709,00","S/.0,00","S/.0,00"
27/03/2025,CANTIDAD ,0,0,0,0,5,5,,14-mar,CANT. CONTACTOS ,9,1,0,,30-mar,CANT. CONTACTOS ,4,2,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.654,70","S/.1.654,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
28/03/2025,CANTIDAD ,0,0,0,1,3,4,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.265,70","S/.1.279,30","S/.1.545,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/03/2025,CANTIDAD ,1,0,0,1,7,9,,15-mar,CANT. CONTACTOS ,3,2,1,,31-mar,CANT. CONTACTOS ,9,4,0
,MONTO ,"S/.709,00","S/.0,00","S/.0,00","S/.170,40","S/.1.074,33","S/.1.953,73",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,1,0
30/03/2025,CANTIDAD ,0,0,0,2,1,3,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.384,80","S/.499,00","S/.883,80",,,MONTO TOTAL,"S/.947,50","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.224,40","S/.157,40","S/.0,00"
31/03/2025,CANTIDAD ,1,0,0,1,8,10,,16-mar,CANT. CONTACTOS ,4,1,0,,,,,,
,MONTO ,"S/.224,50","S/.0,00","S/.0,00","S/.107,40","S/.2.517,40","S/.2.849,30",,,CANT. VENTAS ,0,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,"0,00%",0%,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,,,,
