,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/10/2025,CANTIDAD ,0,0,0,2,4,6,,1-oct,CANT. CONTACTOS ,6,5,2,,17-oct,CANT. CONTACTOS ,19,2,0
,MONTO , S/  -   , S/  -   , S/  -   ," S/  838,30 "," S/  2.626,95 "," S/  3.465,25 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
2/10/2025,CANTIDAD ,1,0,0,1,9,11,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.361,20","S/.0,00","S/.0,00","S/.119,60","S/.3.115,20","S/.3.596,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/10/2025,CANTIDAD ,0,0,0,2,7,9,,2-oct,CANT. CONTACTOS ,7,2,1,,18-oct,CANT. CONTACTOS ,16,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.610,20","S/.1.890,80","S/.2.501,00",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
4/10/2025,CANTIDAD ,0,0,0,4,14,18,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.587,60","S/.2.236,90","S/.3.824,50",,,MONTO TOTAL,"S/.361,20","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/10/2025,CANTIDAD ,0,0,0,0,6,6,,3-oct,CANT. CONTACTOS ,4,1,0,,19-oct,CANT. CONTACTOS ,10,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.670,30","S/.2.670,30",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
6/10/2025,CANTIDAD ,0,0,0,1,8,9,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.413,90","S/.4.223,30","S/.4.637,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/10/2025,CANTIDAD ,1,0,0,3,4,8,,4-oct,CANT. CONTACTOS ,5,,0,,20-oct,CANT. CONTACTOS ,32,0,0
,MONTO ,"S/.359,00","S/.0,00","S/.0,00","S/.429,10","S/.1.002,80","S/.1.790,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
8/10/2025,CANTIDAD ,0,1,0,0,3,4,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.304,00","S/.0,00","S/.0,00","S/.1.095,80","S/.1.399,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/10/2025,CANTIDAD ,0,0,0,1,4,5,,5-oct,CANT. CONTACTOS ,1,1,0,,21-oct,CANT. CONTACTOS ,23,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.200,40","S/.824,70","S/.1.025,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,1,0
10/10/2025,CANTIDAD ,0,0,0,1,6,7,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.564,60","S/.2.154,00","S/.2.718,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.273,30","S/.308,90","S/.0,00"
11/10/2025,CANTIDAD ,1,0,0,1,8,10,,6-oct,CANT. CONTACTOS ,5,3,0,,22-oct,CANT. CONTACTOS ,15,2,0
,MONTO ,"S/.665,40","S/.0,00","S/.0,00","S/.109,50","S/.3.344,80","S/.4.119,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,0,0
12/10/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,,0%,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.678,00","S/.1.416,60","S/.2.094,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.445,45","S/.0,00","S/.0,00"
13/10/2025,CANTIDAD ,1,0,0,1,4,6,,7-oct,CANT. CONTACTOS ,7,4,0,,23-oct,CANT. CONTACTOS ,7,3,0
,MONTO ,"S/.393,05","S/.0,00","S/.0,00","S/.395,00","S/.1.322,80","S/.2.110,85",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
14/10/2025,CANTIDAD ,0,0,0,1,3,4,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.187,40","S/.569,70","S/.757,10",,,MONTO TOTAL,"S/.359,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.134,40","S/.0,00","S/.0,00"
15/10/2025,CANTIDAD ,0,0,0,2,7,9,,8-oct,CANT. CONTACTOS ,18,3,0,,24-oct,CANT. CONTACTOS ,22,6,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.505,90","S/.2.075,25","S/.3.581,15",,,CANT. VENTAS ,0,1,0,,,CANT. VENTAS ,0,0,0
16/10/2025,CANTIDAD ,0,0,0,1,10,11,,,TASA DE VENTA ,"0,00%",,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.229,40","S/.2.277,60","S/.2.507,00",,,MONTO TOTAL,"S/.0,00","S/.304,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
17/10/2025,CANTIDAD ,0,0,0,0,9,9,,9-oct,CANT. CONTACTOS ,30,1,0,,25-oct,CANT. CONTACTOS ,1,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.390,20","S/.2.390,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
18/10/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.146,60","S/.1.283,49","S/.1.430,09",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/10/2025,CANTIDAD ,0,0,0,0,6,6,,10-oct,CANT. CONTACTOS ,17,1,0,,26-oct,CANT. CONTACTOS ,18,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.132,40","S/.1.132,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
20/10/2025,CANTIDAD ,0,0,0,2,4,6,,,TASA DE VENTA ,0,0%,0,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.240,30","S/.1.800,40","S/.2.040,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
21/10/2025,CANTIDAD ,1,1,0,0,2,4,,11-oct,CANT. CONTACTOS ,15,2,0,,27-oct,CANT. CONTACTOS ,21,2,0
,MONTO ,"S/.273,30","S/.308,90","S/.0,00","S/.0,00","S/.209,20","S/.791,40",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
22/10/2025,CANTIDAD ,2,0,0,1,8,11,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.445,45","S/.0,00","S/.0,00","S/.240,10","S/.1.684,50","S/.2.370,05",,,MONTO TOTAL,"S/.665,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
23/10/2025,CANTIDAD ,1,0,0,0,8,9,,12-oct,CANT. CONTACTOS ,12,1,0,,28-oct,CANT. CONTACTOS ,18,3,0
,MONTO ,"S/.134,40","S/.0,00","S/.0,00","S/.0,00","S/.1.419,20","S/.1.553,60",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,2,0,0
24/10/2025,CANTIDAD ,0,0,0,1,8,9,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.170,40","S/.2.225,30","S/.2.395,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.663,90","S/.0,00","S/.0,00"
25/10/2025,CANTIDAD ,0,0,0,0,14,14,,13-oct,CANT. CONTACTOS ,20,1,0,,29-oct,CANT. CONTACTOS ,16,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.4.147,60","S/.4.147,60",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
26/10/2025,CANTIDAD ,0,0,0,0,4,4,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.824,90","S/.824,90",,,MONTO TOTAL,"S/.393,05","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.126,80","S/.0,00","S/.0,00"
27/10/2025,CANTIDAD ,0,0,0,1,4,5,,14-oct,CANT. CONTACTOS ,36,1,0,,30-oct,CANT. CONTACTOS ,15,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.318,00","S/.1.552,30","S/.1.870,30",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
28/10/2025,CANTIDAD ,2,0,0,1,6,9,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.663,90","S/.0,00","S/.0,00","S/.359,00","S/.2.418,70","S/.3.441,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/10/2025,CANTIDAD ,1,0,0,1,12,14,,15-oct,CANT. CONTACTOS ,29,4,0,,31-oct,CANT. CONTACTOS ,11,0,0
,MONTO ,"S/.126,80","S/.0,00","S/.0,00","S/.682,00","S/.5.030,10","S/.5.838,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
30/10/2025,CANTIDAD ,0,0,0,2,8,10,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.422,00","S/.2.698,80","S/.3.120,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.70,90","S/.0,00","S/.0,00"
31/10/2025,CANTIDAD ,1,0,0,1,9,11,,16-oct,CANT. CONTACTOS ,22,1,0,,,,,,
,MONTO ,"S/.70,90","S/.0,00","S/.0,00","S/.146,60","S/.2.610,80","S/.2.828,30",,,CANT. VENTAS ,0,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,"0,00%",0,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,,,,
