,,VENTAS DIARIAS ,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/09/2025,CANTIDAD ,1,0,0,3,7,11,,1-sept,CANT. CONTACTOS ,22,2,0,,17-sept,CANT. CONTACTOS ,25,3,0
,MONTO ," S/  119,80 ", S/  -   , S/  -   ," S/  883,80 "," S/  2.480,80 "," S/  3.484,40 ",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,1,0,0
2/09/2025,CANTIDAD ,2,0,0,4,11,17,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.355,80","S/.0,00","S/.0,00","S/.1.415,80","S/.2.417,20","S/.4.188,80",,,MONTO TOTAL,"S/.119,80","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.235,40","S/.0,00","S/.0,00"
3/09/2025,CANTIDAD ,1,0,0,4,9,14,,2-sept,CANT. CONTACTOS ,15,1,0,,18-sept,CANT. CONTACTOS ,24,3,0
,MONTO ,"S/.74,90","S/.0,00","S/.0,00","S/.2.059,80","S/.1.647,70","S/.3.782,40",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
4/09/2025,CANTIDAD ,1,0,0,2,8,11,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.889,90","S/.0,00","S/.0,00","S/.452,40","S/.2.150,60","S/.3.492,90",,,MONTO TOTAL,"S/.355,80","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/09/2025,CANTIDAD ,0,0,0,1,10,11,,3-sept,CANT. CONTACTOS ,20,0,0,,19-sept,CANT. CONTACTOS ,16,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.169,40","S/.2.721,40","S/.2.890,80",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
6/09/2025,CANTIDAD ,0,0,0,0,16,16,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.4.573,00","S/.4.573,00",,,MONTO TOTAL,"S/.74,90","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/09/2025,CANTIDAD ,0,0,0,1,5,6,,4-sept,CANT. CONTACTOS ,18,2,0,,20-sept,CANT. CONTACTOS ,19,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.599,10","S/.564,00","S/.1.163,10",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
8/09/2025,CANTIDAD ,2,0,0,8,6,16,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.532,20","S/.0,00","S/.0,00","S/.903,90","S/.2.151,50","S/.3.587,60",,,MONTO TOTAL,"S/.889,90","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/09/2025,CANTIDAD ,1,0,0,2,14,17,,5-sept,CANT. CONTACTOS ,14,0,0,,21-sept,CANT. CONTACTOS ,0,0,1
,MONTO ,"S/.59,90","S/.0,00","S/.0,00","S/.830,40","S/.2.870,30","S/.3.760,60",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
10/09/2025,CANTIDAD ,1,0,0,2,6,9,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.143,40","S/.0,00","S/.0,00","S/.696,80","S/.1.171,60","S/.2.011,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/09/2025,CANTIDAD ,2,0,0,3,9,14,,6-sept,CANT. CONTACTOS ,13,3,0,,22-sept,CANT. CONTACTOS ,16,6,0
,MONTO ,"S/.541,10","S/.0,00","S/.0,00","S/.785,20","S/.1.882,60","S/.3.208,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
12/09/2025,CANTIDAD ,1,0,0,2,7,10,,,TASA DE VENTA ,0,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.170,40","S/.0,00","S/.0,00","S/.402,80","S/.1.411,20","S/.1.984,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
13/09/2025,CANTIDAD ,0,0,0,3,12,15,,7-sept,CANT. CONTACTOS ,28,3,1,,23-sept,CANT. CONTACTOS ,21,1,1
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.532,70","S/.2.211,40","S/.2.744,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
14/09/2025,CANTIDAD ,0,0,0,1,4,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.124,50","S/.934,10","S/.1.058,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
15/09/2025,CANTIDAD ,0,0,0,3,5,8,,8-sept,CANT. CONTACTOS ,10,4,0,,24-sept,CANT. CONTACTOS ,28,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.706,80","S/.1.315,00","S/.2.021,80",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,2,0,0
16/09/2025,CANTIDAD ,0,0,0,2,6,8,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.601,20","S/.1.107,10","S/.1.708,30",,,MONTO TOTAL,"S/.532,20","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.693,00","S/.0,00","S/.0,00"
17/09/2025,CANTIDAD ,1,0,0,0,3,4,,9-sept,CANT. CONTACTOS ,10,2,0,,25-sept,CANT. CONTACTOS ,17,3,0
,MONTO ,"S/.235,40","S/.0,00","S/.0,00","S/.0,00","S/.575,80","S/.811,20",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
18/09/2025,CANTIDAD ,0,0,0,4,4,8,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.299,70","S/.978,50","S/.2.278,20",,,MONTO TOTAL,"S/.143,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
19/09/2025,CANTIDAD ,0,0,0,1,7,8,,10-sept,CANT. CONTACTOS ,21,2,0,,26-sept,CANT. CONTACTOS ,16,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.157,40","S/.1.429,30","S/.1.586,70",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,2,0,0
20/09/2025,CANTIDAD ,0,0,0,2,9,11,,,TASA DE VENTA ,,0%,0,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.422,80","S/.2.174,60","S/.2.597,40",,,MONTO TOTAL,"S/.143,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.470,10","S/.0,00","S/.0,00"
21/09/2025,CANTIDAD ,0,0,0,3,6,9,,11-sept,CANT. CONTACTOS ,28,0,0,,27-sept,CANT. CONTACTOS ,13,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.596,60","S/.1.770,40","S/.2.367,00",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,2,0,0
22/09/2025,CANTIDAD ,0,0,0,5,6,11,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.669,50","S/.1.368,50","S/.3.038,00",,,MONTO TOTAL,"S/.541,10","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.1.325,26","S/.0,00","S/.0,00"
23/09/2025,CANTIDAD ,0,0,0,5,6,11,,12-sept,CANT. CONTACTOS ,16,3,0,,28-sept,CANT. CONTACTOS ,8,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.000,70","S/.1.427,60","S/.2.428,30",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
24/09/2025,CANTIDAD ,2,0,0,0,6,8,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.693,00","S/.0,00","S/.0,00","S/.0,00","S/.1.714,50","S/.2.407,50",,,MONTO TOTAL,"S/.170,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
25/09/2025,CANTIDAD ,0,0,0,2,14,16,,13-sept,CANT. CONTACTOS ,6,2,0,,29-sept,CANT. CONTACTOS ,23,1,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.579,80","S/.4.363,15","S/.4.942,95",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
26/09/2025,CANTIDAD ,2,0,0,2,15,19,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.470,10","S/.0,00","S/.0,00","S/.669,90","S/.3.926,70","S/.5.066,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
27/09/2025,CANTIDAD ,2,0,0,2,11,15,,14-sept,CANT. CONTACTOS ,17,2,1,,30-sept,CANT. CONTACTOS ,15,6,1
,MONTO ,"S/.1.325,26","S/.0,00","S/.0,00","S/.295,30","S/.3.515,60","S/.5.136,16",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
28/09/2025,CANTIDAD ,0,0,0,3,7,10,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.318,20","S/.2.698,60","S/.4.016,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
29/09/2025,CANTIDAD ,0,0,0,1,10,11,,15-sept,CANT. CONTACTOS ,20,1,1,,,CANT. CONTACTOS ,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.204,00","S/.2.251,70","S/.2.455,70",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,,,
30/09/2025,CANTIDAD ,0,0,0,3,3,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.1.236,50","S/.868,70","S/.2.105,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,,,
,CANTIDAD ,,,,,,,,16-sept,CANT. CONTACTOS ,8,3,0,,,,,,
,MONTO ,,,,,,,,,CANT. VENTAS ,0,0,0,,,,,,
,,,,,,,,,,TASA DE VENTA ,"0,00%",0,0%,,,,,,
,,,,,,,,,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,,,,
