,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/01/2026,CANTIDAD ,0,0,0,0,0,0,0,,1-ene,CANT. CONTACTOS ,0,3,0,,17-ene,CANT. CONTACTOS ,6,2,0
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   , S/  -   , S/  -   , S/  -   ,,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
2/01/2026,CANTIDAD ,0,0,0,0,1,4,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.445,80","S/.906,90","S/.1.352,70",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/01/2026,CANTIDAD ,0,0,0,0,0,1,1,,2-ene,CANT. CONTACTOS ,5,4,0,,18-ene,CANT. CONTACTOS ,5,0,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.239,00","S/.239,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
4/01/2026,CANTIDAD ,0,0,0,0,0,1,1,,,TASA DE VENTA ,"0,00%","0,00%",0%,,,TASA DE VENTA ,"0,00%","0,00%",0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.518,00","S/.518,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/01/2026,CANTIDAD ,1,0,0,0,1,4,6,,3-ene,CANT. CONTACTOS ,3,3,0,,19-ene,CANT. CONTACTOS ,9,3,0
,MONTO ,"S/.373,00","S/.0,00","S/.0,00","S/.0,00","S/.433,40","S/.1.584,00","S/.2.390,40",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
6/01/2026,CANTIDAD ,1,0,0,0,3,2,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.32,20","S/.0,00","S/.0,00","S/.0,00","S/.590,00","S/.817,90","S/.1.440,10",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/01/2026,CANTIDAD ,2,0,0,1,1,6,10,,4-ene,CANT. CONTACTOS ,8,2,0,,20-ene,CANT. CONTACTOS ,9,0,
,MONTO ,"S/.189,30","S/.0,00","S/.0,00","S/.139,60","S/.545,50","S/.2.265,80","S/.3.140,20",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
8/01/2026,CANTIDAD ,0,0,0,0,2,4,6,,,TASA DE VENTA ,0%,"0,00%",0%,,,TASA DE VENTA ,"0,00%","0,00%",0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.275,20","S/.1.515,40","S/.1.790,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
9/01/2026,CANTIDAD ,0,0,0,1,2,7,10,,5-ene,CANT. CONTACTOS ,9,3,0,,21-ene,CANT. CONTACTOS ,4,5,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.350,00","S/.278,20","S/.1.893,90","S/.2.522,10",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,0,0
10/01/2026,CANTIDAD ,0,0,0,0,2,4,6,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.558,00","S/.1.195,90","S/.1.753,90",,,MONTO TOTAL,"S/.373,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
