74852833,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/02/2026,CANTIDAD ,0,0,0,0,0,5,5,,1-feb,CANT. CONTACTOS ,3,0,0,,15-feb,CANT. CONTACTOS ,2,6,0
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   , S/  -   ," S/  2.962,00 "," S/  2.962,00 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
2/02/2026,CANTIDAD ,2,0,0,0,1,1,4,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.628,00","S/.0,00","S/.0,00","S/.0,00","S/.562,40","S/.249,50","S/.1.439,90",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/02/2026,CANTIDAD ,0,0,0,0,0,3,3,,2-feb,CANT. CONTACTOS ,3,2,0,,16-feb,CANT. CONTACTOS ,7,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.2.072,00","S/.2.072,00",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
4/02/2026,CANTIDAD ,0,0,0,1,1,0,2,,,TASA DE VENTA ,,"0,00%",0%,,,TASA DE VENTA ,"0,00%","0,00%",0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.227,40","S/.122,40","S/.0,00","S/.349,80",,,MONTO TOTAL,"S/.628,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/02/2026,CANTIDAD ,0,0,0,1,1,2,4,,3-feb,CANT. CONTACTOS ,7,1,0,,17-feb,CANT. CONTACTOS ,10,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.195,60","S/.314,00","S/.1.304,00","S/.1.813,60",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
6/02/2026,CANTIDAD ,0,0,0,1,0,4,5,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.259,20","S/.0,00","S/.695,00","S/.954,20",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
7/02/2026,CANTIDAD ,0,0,0,0,0,2,2,,4-feb,CANT. CONTACTOS ,9,0,0,,18-feb,CANT. CONTACTOS ,13,3,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.498,00","S/.498,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,1,0,0
8/02/2026,CANTIDAD ,0,0,0,0,0,0,0,,,TASA DE VENTA ,0%,"0,00%",0%,,,TASA DE VENTA ,,"0,00%",0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.203,30","S/.0,00","S/.0,00"
9/02/2026,CANTIDAD ,0,0,0,0,0,6,6,,5-feb,CANT. CONTACTOS ,9,4,0,,19-feb,CANT. CONTACTOS ,5,2,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.1.912,00","S/.1.912,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
10/02/2026,CANTIDAD ,2,0,0,0,1,3,6,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.925,00","S/.0,00","S/.0,00","S/.0,00","S/.129,80","S/.1.434,00","S/.2.488,80",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
11/02/2026,CANTIDAD ,1,0,0,0,11,12,24,,6-feb,CANT. CONTACTOS ,3,2,0,,20-feb,CANT. CONTACTOS ,12,2,0
,MONTO ,"S/.309,00","S/.0,00","S/.0,00","S/.0,00","S/.3.756,20","S/.5.015,60","S/.9.080,80",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
12/02/2026,CANTIDAD ,1,0,0,0,16,20,37,,,TASA DE VENTA ,0%,"0,00%",0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.458,00","S/.0,00","S/.0,00","S/.0,00","S/.5.136,60","S/.8.798,00","S/.14.392,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
13/02/2026,CANTIDAD ,0,0,0,0,0,2,2,,7-feb,CANT. CONTACTOS ,2,0,0,,21-feb,CANT. CONTACTOS ,15,4,0
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.832,80","S/.832,80",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
14/02/2026,CANTIDAD ,0,0,0,1,1,3,5,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,0%,0%,0%
