,,VENTAS DIARIAS
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL
46174,CANTIDAD ,1,0,0,0,1,8,10
,MONTO ,39.9,0,0,0,212.4,2413.3,2665.6000000000004
46175,CANTIDAD ,0,0,0,1,4,5,10
,MONTO ,0,0,0,227,747.6,3913.4,4888
46176,CANTIDAD ,1,0,0,0,2,8,11
,MONTO ,429,0,0,0,847.2,2451.4,3727.6000000000004
46177,CANTIDAD ,0,0,0,0,2,6,8
,MONTO ,0,0,0,0,549.6,1244.4,1794
46178,CANTIDAD ,1,0,0,0,0,9,10
,MONTO ,112,0,0,0,0,1746.7,1858.7
46179,CANTIDAD ,0,0,0,0,0,10,10
,MONTO ,0,0,0,0,0,3690.9,3690.9
46180,CANTIDAD ,0,1,0,0,3,0,4
,MONTO ,0,139.9,0,0,456.83,0,596.73
46181,CANTIDAD ,1,0,0,0,0,1,2
,MONTO ,163.5,0,0,0,0,348.9,512.4
46182,CANTIDAD ,1,0,0,0,0,2,3
,MONTO ,274,0,0,0,0,119.8,393.8
46183,CANTIDAD ,0,0,0,0,3,5,8
,MONTO ,0,0,0,0,802.8,1295.3,2098.1
46184,CANTIDAD ,0,0,0,0,1,10,11
,MONTO ,0,0,0,0,974.15,2343.55,3317.7000000000003
46185,CANTIDAD ,0,0,0,2,1,12,15
,MONTO ,0,0,0,725,123.6,3756.8,4605.400000000001
46186,CANTIDAD ,0,0,0,0,1,13,14
,MONTO ,0,0,0,0,257,3283.45,3540.45
46187,CANTIDAD ,0,0,0,0,2,2,4
,MONTO ,0,0,0,0,625.95,654.65,1280.6
46188,CANTIDAD ,1,0,0,0,2,5,8
,MONTO ,39.9,0,0,0,429.6,1010.81,1480.31
46189,CANTIDAD ,1,0,0,0,3,3,7
,MONTO ,59.9,0,0,0,700.7,735.6,1496.2
46190,CANTIDAD ,2,0,0,0,0,3,5
,MONTO ,233.6,0,0,0,0,629.8,863.4
46191,CANTIDAD ,0,0,0,0,0,6,6
,MONTO ,0,0,0,0,0,1961,1961
46192,CANTIDAD ,0,0,0,2,0,8,10
,MONTO ,0,0,0,396.6,0,2229.8,2626.4
46193,CANTIDAD ,0,0,0,0,2,8,10
,MONTO ,0,0,0,0,334.5,2250.5,2585
46194,CANTIDAD ,0,0,0,0,0,3,3
,MONTO ,0,0,0,0,0,566.9,566.9
46195,CANTIDAD ,0,0,0,0,1,2,3
,MONTO ,0,0,0,0,74.9,938.8,1013.6999999999999
46196,CANTIDAD ,0,0,0,0,2,4,6
,MONTO ,0,0,0,0,318.2,1435.8,1754
46197,CANTIDAD ,0,0,0,1,1,3,5
,MONTO ,0,0,0,263.3,151.6,618.7,1033.6
46198,CANTIDAD ,2,0,0,2,1,11,16
,MONTO ,290.2,0,0,1534.6,174,4411.6,6410.400000000001
46199,CANTIDAD ,0,0,0,0,1,9,10
,MONTO ,0,0,0,0,122.82,2331.5,2454.32
46200,CANTIDAD ,0,0,0,0,0,8,8
,MONTO ,0,0,0,0,0,2491.4,2491.4
46201,CANTIDAD ,0,0,0,0,0,2,2
,MONTO ,0,0,0,0,0,776.9,776.9
46202,CANTIDAD ,0,0,0,0,1,2,3
,MONTO ,0,0,0,0,74.9,853.7,928.6
46203,CANTIDAD ,0,0,0,1,1,5,7
,MONTO ,0,0,0,21930,283,1561.6,23774.6
