,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/03/2026,CANTIDAD ,2,0,0,0,0,2,4,,1-mar,CANT. CONTACTOS ,5,1,0,,16-mar,CANT. CONTACTOS ,18,2,0
,MONTO ," S/  246,20 ", S/  -   , S/  -   , S/  -   , S/  -   ," S/  292,60 "," S/  538,80 ",,,CANT. VENTAS ,2,0,0,,,CANT. VENTAS ,0,0,0
2/03/2026,CANTIDAD ,0,0,0,1,2,9,12,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,0%,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.346,00","S/.463,50","S/.3.717,00","S/.4.526,50",,,MONTO TOTAL,"S/.246,20","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
3/03/2026,CANTIDAD ,1,0,0,1,0,7,9,,2-mar,CANT. CONTACTOS ,16,1,0,,17-mar,CANT. CONTACTOS ,9,1,0
,MONTO ,"S/.149,40","S/.0,00", S/  -   ,"S/.703,80","S/.0,00","S/.1.903,70","S/.2.756,90",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,0,0,0
4/03/2026,CANTIDAD ,1,0,0,1,0,8,10,,,TASA DE VENTA ,"0,00%","0,00%",0%,,,TASA DE VENTA ,"0,00%","0,00%",0%
,MONTO ,"S/.106,60","S/.0,00","S/.0,00","S/.255,20","S/.0,00","S/.1.892,60","S/.2.254,40",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
5/03/2026,CANTIDAD ,2,0,0,0,0,10,12,,3-mar,CANT. CONTACTOS ,10,3,0,,18-mar,CANT. CONTACTOS ,6,4,0
,MONTO ,"S/.335,90","S/.0,00", S/  -   ,"S/.0,00","S/.0,00","S/.1.910,00","S/.2.245,90",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,0,1,0
6/03/2026,CANTIDAD ,0,0,0,0,1,8,9,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,0%,,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.78,60","S/.2.961,90","S/.3.040,50",,,MONTO TOTAL,"S/.149,40","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.424,00","S/.0,00"
7/03/2026,CANTIDAD ,0,0,0,0,2,9,11,,4-mar,CANT. CONTACTOS ,11,2,0,,19-mar,CANT. CONTACTOS ,12,1,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.0,00","S/.628,90","S/.1.859,90","S/.2.488,80",,,CANT. VENTAS ,1,0,0,,,CANT. VENTAS ,3,1,0
8/03/2026,CANTIDAD ,0,0,0,0,0,3,3,,,TASA DE VENTA ,,"0,00%",0%,,,TASA DE VENTA ,,,0%
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.718,20","S/.718,20",,,MONTO TOTAL,"S/.106,60","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.834,80","S/.268,00","S/.0,00"
9/03/2026,CANTIDAD ,0,0,0,0,2,3,5,,5-mar,CANT. CONTACTOS ,6,1,0,,20-mar,CANT. CONTACTOS ,6,2,0
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.0,00","S/.556,40","S/.864,00","S/.1.420,40",,,CANT. VENTAS ,2,0,0%,,,CANT. VENTAS ,0,0,0
10/03/2026,CANTIDAD ,3,0,0,0,7,7,17,,,TASA DE VENTA ,,0%,0%,,,TASA DE VENTA ,"0,00%",0%,0%
,MONTO ,"S/.712,40","S/.0,00","S/.0,00","S/.0,00","S/.222,30","S/.1.865,30","S/.2.800,00",,,MONTO TOTAL,"S/.335,90","S/.0,00","S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00"
