,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
1/05/2026,CANTIDAD ,0,0,0,0,1,0,1,,1-may,CANT. CONTACTOS ,0,0,0,,16-may,CANT. CONTACTOS ,,,
,MONTO , S/  -   , S/  -   , S/  -   , S/  -   ," S/  454,80 ", S/  -   ," S/  454,80 ",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,,,
2/05/2026,CANTIDAD ,0,0,0,0,0,9,9,,,TASA DE VENTA ,0%,0%,0%,,,TASA DE VENTA ,,,
,MONTO ,"S/.0,00","S/.0,00","S/.0,00","S/.0,00","S/.143,60","S/.5.085,00","S/.5.228,60",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,,,
3/05/2026,CANTIDAD ,0,0,0,0,1,2,3,,2-may,CANT. CONTACTOS ,5,1,0,,17-may,CANT. CONTACTOS ,,,
,MONTO ,"S/.0,00","S/.0,00", S/  -   ,"S/.0,00","S/.74,90","S/.1.089,20","S/.1.164,10",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,,,
4/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,"0,00%","0,00%",0%,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,,,
5/05/2026,CANTIDAD ,,,,,,,0,,3-may,CANT. CONTACTOS ,14,1,0,,18-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,0,0,0,,,CANT. VENTAS ,,,
6/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,"0,00%",0%,0%,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,"S/.0,00","S/.0,00","S/.0,00",,,MONTO TOTAL,,,
7/05/2026,CANTIDAD ,,,,,,,0,,4-may,CANT. CONTACTOS ,,,,,19-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
8/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
9/05/2026,CANTIDAD ,,,,,,,0,,5-may,CANT. CONTACTOS ,,,,,20-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
10/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
11/05/2026,CANTIDAD ,,,,,,,0,,6-may,CANT. CONTACTOS ,,,,,21-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
12/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
13/05/2026,CANTIDAD ,,,,,,,0,,7-may,CANT. CONTACTOS ,,,,,22-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
14/05/2026,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,,,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,"S/.0,00",,,MONTO TOTAL,,,,,,MONTO TOTAL,,,
15/05/2026,CANTIDAD ,,,,,,,0,,8-may,CANT. CONTACTOS ,,,,,23-may,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,"S/.0,00",,,CANT. VENTAS ,,,,,,CANT. VENTAS ,,,
